supply_voltage,current,resistance
0.0,0.01,0.0
0.0,0.011,0.0
0.0,0.012,0.0
0.0,0.013,0.0
0.0,0.014,0.0
0.0,0.015,0.0
0.0,0.016,0.0
0.0,0.017,0.0
0.0,0.018,0.0
0.0,0.019,0.0
0.0,0.02,0.0
1.0,0.01,0.0
1.0,0.011,0.0
1.0,0.012,0.0
1.0,0.013,0.0
1.0,0.014,0.0
1.0,0.015,0.0
1.0,0.016,0.0
1.0,0.017,0.0
1.0,0.018,0.0
1.0,0.019,0.0
1.0,0.02,0.0
2.0,0.01,0.0
2.0,0.011,0.0
2.0,0.012,0.0
2.0,0.013,0.0
2.0,0.014,0.0
2.0,0.015,0.0
2.0,0.016,0.0
2.0,0.017,0.0
2.0,0.018,0.0
2.0,0.019,0.0
2.0,0.02,0.0
3.0,0.01,100.0
3.0,0.011,90.90909090909092
3.0,0.012,83.33333333333333
3.0,0.013,76.92307692307692
3.0,0.014,71.42857142857143
3.0,0.015,66.66666666666667
3.0,0.016,62.5
3.0,0.017,58.8235294117647
3.0,0.018,55.55555555555555
3.0,0.019,52.63157894736841
3.0,0.02,50.0
4.0,0.01,200.0
4.0,0.011,181.81818181818184
4.0,0.012,166.66666666666666
4.0,0.013,153.84615384615384
4.0,0.014,142.85714285714286
4.0,0.015,133.33333333333334
4.0,0.016,125.0
4.0,0.017,117.6470588235294
4.0,0.018,111.1111111111111
4.0,0.019,105.26315789473682
4.0,0.02,100.0
5.0,0.01,300.0
5.0,0.011,272.72727272727275
5.0,0.012,250.0
5.0,0.013,230.76923076923077
5.0,0.014,214.28571428571428
5.0,0.015,200.0
5.0,0.016,187.5
5.0,0.017,176.47058823529412
5.0,0.018,166.66666666666666
5.0,0.019,157.89473684210523
5.0,0.02,150.0
6.0,0.01,400.0
6.0,0.011,363.6363636363637
6.0,0.012,333.3333333333333
6.0,0.013,307.6923076923077
6.0,0.014,285.7142857142857
6.0,0.015,266.6666666666667
6.0,0.016,250.0
6.0,0.017,235.2941176470588
6.0,0.018,222.2222222222222
6.0,0.019,210.52631578947364
6.0,0.02,200.0
7.0,0.01,500.0
7.0,0.011,454.54545454545456
7.0,0.012,416.6666666666667
7.0,0.013,384.6153846153846
7.0,0.014,357.1428571428571
7.0,0.015,333.33333333333337
7.0,0.016,312.5
7.0,0.017,294.11764705882354
7.0,0.018,277.77777777777777
7.0,0.019,263.1578947368421
7.0,0.02,250.0
8.0,0.01,600.0
8.0,0.011,545.4545454545455
8.0,0.012,500.0
8.0,0.013,461.5384615384615
8.0,0.014,428.57142857142856
8.0,0.015,400.0
8.0,0.016,375.0
8.0,0.017,352.94117647058823
8.0,0.018,333.3333333333333
8.0,0.019,315.78947368421046
8.0,0.02,300.0
9.0,0.01,700.0
9.0,0.011,636.3636363636364
9.0,0.012,583.3333333333334
9.0,0.013,538.4615384615385
9.0,0.014,500.0
9.0,0.015,466.6666666666667
9.0,0.016,437.5
9.0,0.017,411.7647058823529
9.0,0.018,388.88888888888886
9.0,0.019,368.4210526315789
9.0,0.02,350.0
10.0,0.01,800.0
10.0,0.011,727.2727272727274
10.0,0.012,666.6666666666666
10.0,0.013,615.3846153846154
10.0,0.014,571.4285714285714
10.0,0.015,533.3333333333334
10.0,0.016,500.0
10.0,0.017,470.5882352941176
10.0,0.018,444.4444444444444
10.0,0.019,421.0526315789473
10.0,0.02,400.0
11.0,0.031,290.3225806451613
